pid,bc,dir,yds,succ,kne
694944,TM-0650,LE,4,0,0
694949,MD-0150,RT,9,1,0
694950,MD-0150,RT,1,1,0
694960,TA-1050,LE,6,1,0
694961,TM-0650,LT,2,1,0
694965,MD-0150,LG,4,1,0
694968,DH-1700,LG,0,0,0
694970,MD-0150,LG,2,0,0
694971,MD-0150,RT,1,0,0
694973,DH-1700,RE,3,1,0
694976,DH-1700,MD,2,1,0
694977,BG-0100,MD,0,0,0
694980,TA-1050,RE,-2,0,0
694984,DH-1700,RG,-1,0,0
694989,DH-1700,RE,6,1,0
694997,BG-0100,NL,0,0,1
694998,BG-0100,NL,0,0,1
694999,BG-0100,NL,-1,0,1
695000,BG-0100,NL,-1,0,1
695003,DH-1700,MD,1,0,0
695005,BG-0100,MD,0,0,0
695010,TM-0650,RG,11,1,0
695011,TM-0650,MD,3,0,0
695013,BC-3070,MD,1,1,0
695015,TM-0650,MD,-2,0,0
695017,TM-0650,RG,4,1,0
695018,BC-3070,RT,-3,0,0
695019,BC-3070,MD,0,0,0
695027,MT-1300,MD,5,1,0
695028,MT-1300,MD,4,1,0
695029,MT-1300,MD,4,1,0
695033,MT-1300,RG,4,0,0
695039,DM-0450,MD,3,0,0
695040,DM-0450,MD,-2,0,0
695043,DM-0450,RT,2,1,0
695044,DM-0450,LT,5,1,0
695045,DM-0450,RG,1,0,0
695048,CA-1175,RE,1,0,0
695054,DM-0450,MD,5,0,0
695058,CA-1175,MD,2,0,0
695063,CA-1175,RE,2,1,0
695064,CN-0500,RG,1,0,0
695065,MT-1300,LT,9,1,0
695067,CN-0500,RE,1,1,0
695070,DM-0450,LG,1,0,0
695077,MT-1300,MD,0,0,0
695084,CA-1175,MD,3,0,0
695086,CA-1175,RT,1,0,0
695088,CN-0500,MD,2,1,0
695089,CA-1175,LG,9,1,0
695090,CA-1175,RT,11,1,0
695093,DM-0450,RG,2,0,0
695094,DM-0450,LT,-6,0,0
695097,MT-1300,RT,0,0,0
695098,MT-1300,MD,18,1,0
695118,JW-5650,MD,6,1,0
695119,DM-0450,LT,0,0,0
695121,DM-0450,MD,2,0,0
695125,CN-0500,LE,1,0,0
695128,MT-1300,RT,13,0,0
695130,MT-1300,MD,2,1,0
695131,CN-0500,MD,1,1,0
695135,DM-0450,MD,3,1,0
695136,DM-0450,MD,30,1,0
695137,CS-1950,RT,3,0,0
695139,CS-1950,LG,12,1,0
695140,CS-1950,RT,-4,0,0
695142,JW-5650,LE,4,1,0
695146,CA-1175,RE,6,1,0
695147,CA-1175,LT,5,1,0
695148,CA-1175,MD,2,0,0
695150,CN-0500,RG,4,1,0
695152,DM-0450,RT,-2,0,0
695157,DM-0450,LG,4,0,0
695161,CA-1175,RG,2,1,0
695162,CA-1175,LT,2,0,0
695165,CA-1175,MD,-2,0,0
695167,CA-1175,RE,0,0,0
695180,CS-1950,RT,4,0,0
695185,JW-5650,MD,4,0,0
695189,DA-1300,NL,-1,0,1
695190,DA-1300,NL,-1,0,1
695192,AP-0700,LT,1,0,0
695193,AP-0700,RG,10,1,0
695195,AP-0700,LE,-1,0,0
695197,AT-0350,LE,41,1,0
695203,EL-0010,LE,1,0,0
695204,EL-0010,RT,11,1,0
695206,EL-0010,RE,-1,0,0
695207,JK-2200,RG,3,0,0
695208,AR-1300,MD,2,0,0
695209,EL-0010,LG,2,1,0
695210,EL-0010,RE,6,1,0
695212,EL-0010,LT,4,1,0
695213,EL-0010,LE,5,1,0
695214,JS-6200,RE,5,1,0
695220,AP-0700,MD,6,1,0
695221,AP-0700,LT,2,0,0
695225,JS-6200,RG,2,1,0
695227,JS-6200,LE,2,0,0
695230,AP-0700,RT,0,0,0
695231,AP-0700,RE,2,0,0
695233,AP-0700,MD,2,0,0
695237,EL-0010,LT,-2,0,0
695244,AP-0700,MD,3,0,0
