uid,pid,ptm,pen,desc,cat,pey,act
62598,695263,MIN,TB-2650,Delay of Game,3,5,A
62599,695269,MIN,SF-0150,12 On-field,3,5,A
62600,695283,MIN,ER-0350,Illegal Block Above the Waist,7,10,A
62601,695285,GB,MP-0875,Neutral Zone,4,5,A
62602,695291,GB,CL-0975,Offensive Holding,2,10,A
62603,695298,GB,JS-3500,Offensive Holding,2,10,A
62604,695313,GB,BR-0100,Illegal Use of Hands,5,5,A
62605,695331,GB,LT-0150,Ineligible Downfield Pass,3,0,D
62606,695353,KC,JF-2050,Offensive Holding,2,10,A
62607,695374,KC,MP-0950,Defensive Pass Interference,5,12,A
62608,695389,KC,SS-1700,Illegal Contact,5,0,D
62609,695401,KC,SS-1700,Defensive Holding,5,0,D
62610,695414,KC,HA-0200,Illegal Block Above the Waist,7,10,A
62611,695435,HOU,WM-0550,Neutral Zone,4,5,A
62612,695436,KC,AW-1650,Offensive Holding,2,10,A
62613,695444,HOU,BD-1100,Unnecessary Roughness,6,10,A
62614,695452,KC,KD-0450,Illegal Block Above the Waist,7,10,A
62615,695458,HOU,JC-5630,Unnecessary Roughness,6,4,A
62616,695468,HOU,DH-3950,Offensive Pass Interference,2,10,A
62617,695504,CIN,AW-1100,False Start,1,5,A
62618,695512,PIT,ST-0450,Interference with Opportunity to Catch,6,15,A
62619,695515,CIN,AW-1100,False Start,1,5,A
62620,695516,PIT,JH-2100,Delay of Game,3,5,A
62621,695526,CIN,VB-0350,Defensive Holding,5,0,D
62622,695528,PIT,,Unsportsmanlike Conduct,6,15,A
62623,695534,CIN,PD-0150,Offensive Holding,2,6,A
62624,695548,CIN,RM-1600,Illegal Contact,5,5,A
62625,695550,CIN,DP-0900,Unsportsmanlike Conduct,6,15,A
62626,695558,PIT,RF-0900,Unnecessary Roughness,6,15,A
62627,695571,PIT,RF-0900,Illegal Formation,3,5,A
62628,695572,CIN,SW-1550,Unnecessary Roughness,6,13,A
62629,695585,PIT,,Unsportsmanlike Conduct,6,15,A
62630,695607,PIT,WG-0500,Defensive Holding,5,5,A
62631,695609,PIT,,Face Mask,6,15,A
62632,695616,PIT,CW-0400,Offensive Holding,2,10,A
62633,695622,PIT,WA-0100,Defensive Pass Interference,5,42,A
62634,695670,CIN,VB-0350,Unnecessary Roughness,6,15,A
62635,695670,CIN,AJ-1200,Unsportsmanlike Conduct,6,15,A
62636,695677,SEA,MB-1900,Defensive Offside,4,5,A
62637,695720,SEA,RW-3850,Delay of Game,3,5,A
62638,695724,SEA,ET-0200,Illegal Contact,5,0,D
62639,695731,MIN,XR-0100,Defensive Pass Interference,5,41,A
62640,695749,SEA,CA-1300,Roughing the Passer,6,15,A
62641,695758,SEA,DC-2850,Horse Collar,7,15,A
62642,695760,SEA,RS-1000,Defensive Pass Interference,5,6,A
62643,695770,MIN,CM-3400,Illegal Contact,5,5,A
62644,695805,SEA,GG-0335,Offensive Holding,2,0,D
62645,695808,SEA,KC-0900,Defensive Pass Interference,5,19,A
