uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99162,4236,693810,IND,9,PUNT,3,1,59,8,3,1,0,0,0,3,1,-1,2,1,0,0,2,PUNT
99163,4236,693814,TEN,11,PUNT,4,3,5,41,6,4,1,3,1,14,3,30,3,3,15,0,59,TD
99164,4236,693822,IND,10,KOFF,4,1,3,20,3,0,0,0,0,4,1,0,2,0,0,0,4,PUNT
99165,4236,693826,TEN,12,PUNT,4,1,37,23,3,0,0,0,0,2,1,-9,2,0,0,0,-7,PUNT
99166,4236,693830,IND,11,PUNT,4,6,2,50,13,6,2,1,0,25,8,13,4,2,0,5,33,FG
99167,4236,693844,TEN,13,KOFF,4,1,0,20,7,1,0,1,0,0,0,15,7,3,0,0,15,DWNS
99168,4236,693851,IND,12,DWNS,4,1,25,66,3,0,0,0,0,-4,3,0,0,0,0,0,-4,ENDQ
99169,4237,693855,DAL,1,KOFF,1,1,28,20,3,1,0,0,0,7,2,0,1,0,0,0,7,PUNT
99170,4237,693859,WAS,1,PUNT,1,2,45,28,4,2,0,1,0,0,1,17,3,3,0,0,17,PUNT
99171,4237,693864,DAL,2,PUNT,1,0,56,7,3,0,0,0,0,2,1,0,2,0,0,0,2,PUNT
99172,4237,693868,WAS,2,PUNT,1,0,44,51,2,2,0,2,0,0,0,49,2,2,0,0,49,TD
99173,4237,693872,DAL,3,KOFF,1,3,15,20,6,3,1,1,0,8,2,18,4,2,0,0,26,INT
99174,4237,693878,WAS,3,INT,1,1,32,57,3,2,0,1,0,4,2,39,1,1,0,0,43,TD
99175,4237,693883,DAL,4,KOFF,1,0,45,20,2,1,2,0,0,14,2,0,0,0,0,0,14,FUM
99176,4237,693885,WAS,4,FUM,1,3,16,70,8,6,2,1,1,21,4,9,4,2,0,0,30,TD
99177,4237,693895,DAL,5,KOFF,1,2,45,25,5,1,0,1,0,6,2,16,3,3,0,15,7,PUNT
99178,4237,693901,WAS,5,PUNT,2,4,18,23,8,2,0,2,0,3,2,62,5,4,0,0,68,FG
99179,4237,693910,DAL,6,KOFF,2,4,41,20,9,6,1,4,0,6,3,74,6,5,0,0,80,TD
99180,4237,693921,WAS,6,KOFF,2,2,8,20,5,1,0,1,0,6,2,-2,3,1,0,0,4,PUNT
99181,4237,693927,DAL,7,PUNT,2,1,6,14,7,7,0,5,0,0,0,86,7,7,0,0,86,TD
99182,4237,693936,WAS,7,KOFF,2,0,21,20,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99183,4237,693938,WAS,8,KOFF,3,1,30,20,3,0,0,0,0,1,1,5,2,1,0,0,6,PUNT
99184,4237,693942,DAL,8,PUNT,3,2,12,9,4,1,1,0,0,35,2,-6,2,0,0,0,29,PUNT
99185,4237,693947,WAS,9,PUNT,3,8,21,11,14,6,4,1,0,60,10,24,3,1,0,10,74,FG
99186,4237,693963,DAL,9,KOFF,3,1,34,23,3,0,0,0,0,0,0,5,3,1,0,0,5,PUNT
99187,4237,693967,WAS,10,PUNT,3,1,32,28,3,1,0,1,0,11,2,71,1,1,0,10,72,TD
99188,4237,693973,DAL,10,KOFF,4,2,24,20,8,5,1,3,0,2,1,76,7,4,0,0,78,INT
99189,4237,693981,WAS,11,INT,4,0,7,1,1,0,0,0,0,-1,1,0,0,0,0,0,-1,SAF
99190,4237,693984,DAL,11,KOFF,4,1,25,33,6,3,0,2,0,20,1,44,5,2,0,0,64,FUM
99191,4237,693990,WAS,12,FUM,4,3,5,20,4,2,1,0,1,24,2,7,2,2,0,0,31,PUNT
99192,4237,693995,DAL,12,PUNT,4,3,34,11,12,8,0,6,0,0,0,99,12,9,0,10,89,TD
99193,4237,694010,WAS,13,KOFF,4,4,16,52,9,3,1,1,0,18,8,10,1,1,0,0,28,ENDQ
99194,4238,694020,PHI,1,KOFF,1,1,50,20,5,4,1,2,0,54,1,26,4,3,0,0,80,TD
99195,4238,694027,NYG,1,KOFF,1,3,57,20,8,5,1,1,0,21,4,15,4,2,0,0,36,PUNT
99196,4238,694037,PHI,2,PUNT,1,1,58,2,3,0,0,0,0,1,1,2,2,1,5,1,7,PUNT
99197,4238,694043,NYG,2,PUNT,1,3,8,53,9,5,1,2,0,15,3,29,5,2,0,0,44,FG
99198,4238,694053,PHI,3,KOFF,1,2,31,15,6,4,2,1,0,16,3,69,3,2,0,0,85,TD
99199,4238,694061,NYG,3,KOFF,1,2,48,20,10,6,3,0,0,73,6,-5,3,0,0,0,68,FG
99200,4238,694072,PHI,4,KOFF,2,1,34,20,4,1,0,1,0,3,2,11,2,1,0,0,14,INT
99201,4238,694076,NYG,4,INT,2,1,13,65,3,3,0,2,0,5,1,30,2,2,0,0,35,TD
99202,4238,694081,PHI,5,KOFF,2,6,23,20,16,8,1,5,0,8,5,72,11,9,0,0,80,TD
99203,4238,694099,NYG,5,KOFF,2,4,25,20,13,9,4,3,0,21,7,54,6,5,5,0,80,TD
99204,4238,694115,PHI,6,KOFF,2,0,13,33,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99205,4238,694117,NYG,6,KOFF,3,3,9,20,6,2,1,1,0,23,3,18,3,2,0,0,41,PUNT
99206,4238,694124,PHI,7,PUNT,3,2,31,3,6,4,2,1,0,14,3,30,3,2,0,0,44,FUM
99207,4238,694130,NYG,7,FUM,3,0,9,55,1,1,0,1,1,0,0,45,1,1,0,0,45,TD
99208,4238,694133,PHI,8,KOFF,3,1,39,20,3,0,0,0,0,0,1,3,2,1,0,0,3,PUNT
99209,4238,694137,NYG,8,PUNT,3,3,58,39,7,4,0,3,0,16,4,28,3,2,5,5,44,FUM
99210,4238,694148,NYG,9,KOFF,3,3,3,20,6,3,1,1,0,23,4,19,2,1,0,0,42,PUNT
99211,4238,694155,PHI,9,PUNT,3,6,12,9,13,11,1,5,0,18,5,73,8,8,0,0,91,TD
99212,4238,694170,NYG,10,KOFF,4,4,49,20,12,5,0,3,0,11,4,39,7,4,0,0,50,FG
99213,4238,694183,PHI,10,KOFF,4,2,47,20,7,5,1,1,0,8,3,29,4,3,0,0,37,PUNT
99214,4238,694191,NYG,11,PUNT,4,1,15,20,9,3,0,2,0,0,0,22,9,3,0,0,22,DWNS
99215,4238,694200,PHI,11,DWNS,4,0,28,58,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99216,4239,694202,DET,1,KOFF,1,4,46,23,9,8,2,3,0,23,3,54,6,5,0,0,77,TD
99217,4239,694213,CHI,1,KOFF,1,7,52,18,14,8,3,2,0,44,8,33,6,5,0,0,77,INT
99218,4239,694227,DET,2,INT,1,1,45,20,3,0,0,0,0,0,0,-6,3,0,0,0,-6,PUNT
99219,4239,694231,CHI,2,PUNT,1,2,41,15,4,3,1,0,0,12,3,6,1,1,0,0,18,PUNT
99220,4239,694236,DET,3,PUNT,2,6,0,20,11,4,0,3,0,3,3,41,7,5,0,0,44,MFG
99221,4239,694247,CHI,3,MFG,2,1,32,44,3,0,0,0,0,3,1,-5,2,0,0,0,-2,PUNT
99222,4239,694251,DET,4,PUNT,2,4,45,3,11,6,0,4,0,6,2,56,9,6,0,0,62,DWNS
99223,4239,694262,CHI,4,DWNS,2,0,28,35,3,1,0,1,0,0,0,21,3,1,0,0,21,INT
99224,4239,694265,DET,5,INT,2,0,11,62,3,0,0,0,0,0,0,-2,2,1,0,0,-2,FG
99225,4239,694269,CHI,5,KOFF,3,5,57,17,10,5,1,1,0,15,6,37,3,3,0,0,52,FG
99226,4239,694280,DET,6,KOFF,3,2,13,13,3,0,0,0,0,2,1,-2,2,1,0,5,-5,PUNT
99227,4239,694285,CHI,6,PUNT,3,1,22,59,3,2,0,1,0,7,2,34,1,1,0,0,41,TD
99228,4239,694290,DET,7,KOFF,3,4,21,28,8,5,2,2,0,25,5,47,3,2,0,0,72,TD
99229,4239,694300,CHI,7,KOFF,3,2,47,17,6,4,0,3,0,9,2,74,4,3,0,0,83,TD
99230,4239,694308,DET,8,KOFF,4,4,34,20,8,7,0,4,0,7,2,73,6,5,0,0,80,TD
99231,4239,694318,CHI,8,KOFF,4,3,7,47,7,2,0,2,0,3,1,29,5,2,5,0,37,FG
99232,4239,694327,DET,9,KOFF,4,2,4,4,4,1,0,1,0,0,0,15,4,2,0,7,8,PUNT
99233,4239,694333,CHI,9,PUNT,4,1,44,43,4,2,1,0,0,15,2,5,2,1,0,0,20,INT
99234,4239,694337,DET,10,INT,4,1,51,33,6,2,0,1,0,1,5,6,1,1,0,0,7,ENDQ
99235,4240,694344,KC,1,KOFF,1,4,8,20,8,5,1,4,0,15,3,65,5,4,0,0,80,TD
