uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43013,4251,JS-6200,0,0,0,0,1,0,0,1,1,-4,0,0
43014,4251,RR-1050,0,0,0,0,0,0,0,1,0,0,0,0
43015,4251,LF-0200,0,0,0,0,0,0,0,3,1,5,0,15
43016,4252,CA-1175,0,0,0,0,1,1,2,0,0,0,0,0
43017,4252,CN-0500,2,1,19,0,1,1,4,0,0,0,0,0
43018,4252,JS-6700,0,0,0,0,4,3,5,0,0,0,0,0
43019,4252,CB-3850,0,0,0,0,0,0,0,1,0,0,0,0
43020,4252,GO-0100,0,0,0,0,0,0,0,1,1,19,0,0
43021,4252,RW-3850,8,4,24,0,0,0,0,0,0,0,0,5
43022,4252,DB-0500,0,0,0,0,0,0,0,1,1,4,0,0
43023,4252,JK-0250,0,0,0,0,0,0,0,3,2,16,0,0
43024,4252,ML-2500,0,0,0,0,1,1,8,1,1,4,0,0
43025,4252,LW-1450,0,0,0,0,0,0,0,2,0,0,0,0
43026,4253,PM-0200,2,1,4,0,0,0,0,0,0,0,0,0
43027,4253,DT-0900,0,0,0,0,0,0,0,1,0,0,0,0
43028,4253,RH-2350,0,0,0,0,4,2,17,0,0,0,0,0
43029,4253,CA-0750,0,0,0,0,2,1,2,1,1,4,0,0
43030,4253,FT-0300,0,0,0,0,2,2,16,0,0,0,0,0
43031,4253,BR-1100,3,1,5,0,0,0,0,0,0,0,0,0
43032,4253,MB-4550,0,0,0,0,0,0,0,2,0,0,0,0
43033,4253,HM-0200,0,0,0,0,0,0,0,1,1,5,0,0
43034,4254,RH-2350,0,0,0,0,3,0,3,0,0,0,0,0
43035,4254,SJ-0200,0,0,0,0,1,1,1,0,0,0,0,0
43036,4254,PM-0200,5,2,16,0,0,0,0,0,0,0,0,0
43037,4254,ES-0200,0,0,0,0,0,0,0,2,1,4,0,0
43038,4254,OD-0100,0,0,0,0,0,0,0,2,1,12,0,0
43039,4254,TB-2300,11,4,18,0,0,0,0,0,0,0,0,0
43040,4254,JW-2550,0,0,0,0,1,0,0,4,1,9,0,0
43041,4254,DA-0900,0,0,0,0,0,0,0,2,0,0,0,0
43042,4254,CA-0750,0,0,0,0,1,0,-3,0,0,0,0,0
43043,4254,JN-1900,0,0,0,0,0,0,0,1,0,0,0,0
43044,4254,JE-0100,0,0,0,0,0,0,0,3,2,5,0,0
43045,4254,RG-2200,0,0,0,0,0,0,0,2,1,4,0,0
43046,4255,CP-0500,1,1,10,0,0,0,0,0,0,0,0,0
43047,4255,JN-0625,0,0,0,0,0,0,0,1,1,10,0,0
43048,4255,DJ-1325,0,0,0,0,2,2,3,0,0,0,0,0
43049,4255,MT-1300,0,0,0,0,1,0,-1,0,0,0,0,0
43050,4255,JS-6700,0,0,0,0,4,1,8,0,0,0,0,0
43051,4255,CN-0500,2,2,19,0,2,2,13,0,0,0,0,0
43052,4255,GO-0100,0,0,0,0,0,0,0,1,1,14,0,0
43053,4255,DF-2200,0,0,0,0,0,0,0,1,1,5,0,0
43054,4256,RH-2350,0,0,0,0,1,0,-3,1,0,0,0,0
43055,4256,PM-0200,5,2,8,0,0,0,0,0,0,0,0,0
43056,4256,CA-0750,0,0,0,0,6,2,4,2,2,8,0,0
43057,4256,CN-0500,1,1,13,0,0,0,0,0,0,0,0,0
43058,4256,CB-3850,0,0,0,0,0,0,0,1,1,13,0,0
43059,4256,JS-6700,0,0,0,0,1,1,1,0,0,0,0,0
43060,4256,DT-0900,0,0,0,0,0,0,0,1,0,0,0,0
43061,4256,ES-0200,0,0,0,0,0,0,0,1,0,0,0,0
43062,4256,MT-1300,0,0,0,0,1,0,3,0,0,0,0,0
